ANO,LITORAL,ENTIDAD,MES,GRUPO,NOMBREPRINCIPALESPECIE,ORIGEN,ORIGEN DEL CAMARON,TIPOGUA,DESTINO,ACUACULTURA,PESO DESEMBARCADO (KG),PESO VIVO (KG),VALOR (PESOS)
2009,PACIFICO,BAJA CALIFORNIA,ENERO,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,475,475,99750
2009,PACIFICO,BAJA CALIFORNIA,ENERO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,23297,25629.2,4231515
2009,PACIFICO,BAJA CALIFORNIA,FEBRERO,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,2328.85,2328.85,484662.5
2009,PACIFICO,BAJA CALIFORNIA,FEBRERO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,2070,4926.6,127300
2009,PACIFICO,BAJA CALIFORNIA,MARZO,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,314,314,64940
2009,PACIFICO,BAJA CALIFORNIA,MARZO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,43203,45135,6142635
2009,PACIFICO,BAJA CALIFORNIA,ABRIL,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,200,200,42000
2009,PACIFICO,BAJA CALIFORNIA,ABRIL,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,18214,21802,3746030
2009,PACIFICO,BAJA CALIFORNIA,MAYO,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,601.8,601.8,133609
2009,PACIFICO,BAJA CALIFORNIA,MAYO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,31802,35114,5589290
2009,PACIFICO,BAJA CALIFORNIA,JUNIO,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1747,1747,365620
2009,PACIFICO,BAJA CALIFORNIA,JUNIO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,38157,43718.4,6942380
2009,PACIFICO,BAJA CALIFORNIA,JULIO,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1475,1475,309750
2009,PACIFICO,BAJA CALIFORNIA,AGOSTO,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,300,300,66000
2009,PACIFICO,BAJA CALIFORNIA,SEPTIEMBRE,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,250,250,52500
2009,PACIFICO,BAJA CALIFORNIA,OCTUBRE,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1832,1832,377060
2009,PACIFICO,BAJA CALIFORNIA,NOVIEMBRE,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,3550,3550,740700
2009,PACIFICO,BAJA CALIFORNIA,DICIEMBRE,ANIMAL,ABULON,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,4275,4275,836375
2009,PACIFICO,BAJA CALIFORNIA,DICIEMBRE,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,46668,46668,8820252
2009,PACIFICO,BAJA CALIFORNIA SUR,FEBRERO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,872,2028.44,191360
2009,PACIFICO,BAJA CALIFORNIA SUR,MARZO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,12005,21633.26,3067504
2009,PACIFICO,BAJA CALIFORNIA SUR,ABRIL,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,3338,7944.44,679755
2009,PACIFICO,BAJA CALIFORNIA SUR,MAYO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,43499,103527.62,9571922
2009,PACIFICO,BAJA CALIFORNIA SUR,JUNIO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,44234,105276.92,10242043
2009,PACIFICO,BAJA CALIFORNIA SUR,JULIO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,45094,107309.92,10017442
2009,PACIFICO,BAJA CALIFORNIA SUR,AGOSTO,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,34376,80158.88,7668554
2009,PACIFICO,BAJA CALIFORNIA SUR,SEPTIEMBRE,ANIMAL,ABULON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,2837,6536.78,777100
2009,PACIFICO,BAJA CALIFORNIA,ENERO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,25537,150412,177635
2009,PACIFICO,BAJA CALIFORNIA,FEBRERO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,11350,55350,69250
2009,PACIFICO,BAJA CALIFORNIA,MARZO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,10500,63000,73500
2009,PACIFICO,BAJA CALIFORNIA,ABRIL,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,42200,135700,295400
2009,PACIFICO,BAJA CALIFORNIA,MAYO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,51375,229500,320250
2009,PACIFICO,BAJA CALIFORNIA,JUNIO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,176500,959000,1112250
2009,PACIFICO,BAJA CALIFORNIA,JULIO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,162160,821640,1059460
2009,PACIFICO,BAJA CALIFORNIA,AGOSTO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,168320,668020,1118540
2009,PACIFICO,BAJA CALIFORNIA,SEPTIEMBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,76550,235050,471350
2009,PACIFICO,BAJA CALIFORNIA,OCTUBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,4950,29700,34650
2009,PACIFICO,BAJA CALIFORNIA,NOVIEMBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,1800,10800,12600
2009,PACIFICO,BAJA CALIFORNIA SUR,ENERO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,12487,12487,87713.03
2009,PACIFICO,BAJA CALIFORNIA SUR,FEBRERO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,500,3000,3750
2009,PACIFICO,BAJA CALIFORNIA SUR,MARZO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,39845,239070,274808.44
2009,PACIFICO,BAJA CALIFORNIA SUR,ABRIL,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,53659,321954,387824.06
2009,PACIFICO,BAJA CALIFORNIA SUR,MAYO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,55173,331038,406743.38
2009,PACIFICO,BAJA CALIFORNIA SUR,JUNIO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,59196,282781,411678.55
2009,PACIFICO,BAJA CALIFORNIA SUR,JULIO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,21511,46091,162151.5
2009,PACIFICO,BAJA CALIFORNIA SUR,AGOSTO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,72200,414200,527350
2009,PACIFICO,BAJA CALIFORNIA SUR,SEPTIEMBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,22225,133350,156875
2009,PACIFICO,BAJA CALIFORNIA SUR,DICIEMBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,1596,9576,12768
2009,GOLFO Y CARIBE,CAMPECHE,JUNIO,ANIMAL,ALMEJA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,250,250,750
2009,GOLFO Y CARIBE,QUINTANA ROO,ENERO,ANIMAL,ALMEJA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,375,375,26250
2009,GOLFO Y CARIBE,QUINTANA ROO,MARZO,ANIMAL,ALMEJA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,869,1173,36190
