ANO,LITORAL,ENTIDAD,MES,GRUPO,NOMBREPRINCIPALESPECIE,ORIGEN,ORIGEN DEL CAMARON,TIPOGUA,DESTINO,ACUACULTURA,PESO DESEMBARCADO (KG),PESO VIVO (KG),VALOR (PESOS)
2019,GOLFO Y CARIBE,CAMPECHE,JUNIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,264.6,264.6,1862.784
2019,GOLFO Y CARIBE,CAMPECHE,AGOSTO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,1050,1050,8400
2019,PACÍFICO,BAJA CALIFORNIA,ENERO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1000,1000,200000
2019,PACÍFICO,BAJA CALIFORNIA,ENERO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,1968.98,4432.28,2747785.493
2019,PACÍFICO,BAJA CALIFORNIA,FEBRERO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,500,500,100000
2019,PACÍFICO,BAJA CALIFORNIA,FEBRERO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,9161.91,14018.13,8090767.959
2019,PACÍFICO,BAJA CALIFORNIA,MARZO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,31000,31000,9200000
2019,PACÍFICO,BAJA CALIFORNIA,MARZO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,3291.24,7185.6,4581448.954
2019,PACÍFICO,BAJA CALIFORNIA,ABRIL,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,2000,2000,400000
2019,PACÍFICO,BAJA CALIFORNIA,ABRIL,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,5575.05,10973.61,6649732.622
2019,PACÍFICO,BAJA CALIFORNIA,MAYO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,3000,3000,600000
2019,PACÍFICO,BAJA CALIFORNIA,MAYO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,4858.99,8934.13,5231224.336
2019,PACÍFICO,BAJA CALIFORNIA,JUNIO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1500,1500,300000
2019,PACÍFICO,BAJA CALIFORNIA,JUNIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,31388.48,38890.16,18262552.83
2019,PACÍFICO,BAJA CALIFORNIA,JULIO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,32067,32067,9413400
2019,PACÍFICO,BAJA CALIFORNIA,JULIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,271.07,367.67,200647.8
2019,PACÍFICO,BAJA CALIFORNIA,AGOSTO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1520,1520,306000
2019,PACÍFICO,BAJA CALIFORNIA,SEPTIEMBRE,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1500,1500,300000
2019,PACÍFICO,BAJA CALIFORNIA,OCTUBRE,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1500,1500,300000
2019,PACÍFICO,BAJA CALIFORNIA,OCTUBRE,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,426.88,978.88,360286.72
2019,PACÍFICO,BAJA CALIFORNIA,NOVIEMBRE,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1500,1500,300000
2019,PACÍFICO,BAJA CALIFORNIA,DICIEMBRE,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,1500,1500,300000
2019,PACÍFICO,BAJA CALIFORNIA,DICIEMBRE,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,822.81,822.81,164562
2019,PACÍFICO,BAJA CALIFORNIA SUR,ABRIL,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,3980.6,8206.16,3917192.5
2019,PACÍFICO,BAJA CALIFORNIA SUR,MAYO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,13809.45,28065.75,12416175.5
2019,PACÍFICO,BAJA CALIFORNIA SUR,JUNIO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,90,90,54000
2019,PACÍFICO,BAJA CALIFORNIA SUR,JUNIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,23539.1,48526.76,14826552
2019,PACÍFICO,BAJA CALIFORNIA SUR,JULIO,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,3,3,1800
2019,PACÍFICO,BAJA CALIFORNIA SUR,JULIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,6645.6,13426.92,4748640
2019,PACÍFICO,BAJA CALIFORNIA SUR,AGOSTO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,1985.1,4092.36,1396330
2019,PACÍFICO,BAJA CALIFORNIA SUR,OCTUBRE,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,2,2,2
2019,PACÍFICO,BAJA CALIFORNIA SUR,NOVIEMBRE,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,100,100,60000
2019,PACÍFICO,OAXACA,JULIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,490,490,7350
2019,PACÍFICO,SONORA,OCTUBRE,ANIMAL,ABULÓN,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,16000,16000,1280000
2019,PACÍFICO,BAJA CALIFORNIA,JUNIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,150,0,3000
2019,PACÍFICO,BAJA CALIFORNIA SUR,ABRIL,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,2198,0,139962
2019,PACÍFICO,BAJA CALIFORNIA SUR,MAYO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,7148,0,407134
2019,PACÍFICO,BAJA CALIFORNIA SUR,JUNIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,11717,0,381610
2019,PACÍFICO,BAJA CALIFORNIA SUR,JULIO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,2575,0,66330
2019,PACÍFICO,BAJA CALIFORNIA SUR,AGOSTO,ANIMAL,ABULÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,1658,0,49740
2019,PACÍFICO,BAJA CALIFORNIA,ENERO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,13287,77537,95996
2019,PACÍFICO,BAJA CALIFORNIA,FEBRERO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,5150,30900,36900
2019,PACÍFICO,BAJA CALIFORNIA,MARZO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,18018,98768,132144
2019,PACÍFICO,BAJA CALIFORNIA,ABRIL,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,53155,276405,413505
2019,PACÍFICO,BAJA CALIFORNIA,MAYO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,154715,345715,687980
2019,PACÍFICO,BAJA CALIFORNIA,JUNIO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,190756,1074506,1023048
2019,PACÍFICO,BAJA CALIFORNIA,JULIO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,260733,965733,986664
2019,PACÍFICO,BAJA CALIFORNIA,AGOSTO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,148021,833771,645918
2019,PACÍFICO,BAJA CALIFORNIA,SEPTIEMBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,28400,165400,211200
2019,PACÍFICO,BAJA CALIFORNIA,OCTUBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,37685,185185,272785
2019,PACÍFICO,BAJA CALIFORNIA,NOVIEMBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,15700,90200,111900
2019,PACÍFICO,BAJA CALIFORNIA,DICIEMBRE,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,2188,10188,15904
2019,PACÍFICO,BAJA CALIFORNIA SUR,ENERO,VEGETAL,ALGAS,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,1721,10326,16135
